feature,best_lag_pearson,best_lag_hours_pearson,valid_n_pearson,pearson_corr,pearson_abs,best_lag_spearman,best_lag_hours_spearman,valid_n_spearman,spearman_corr,spearman_abs
ALUM,11,22,3468,0.04029571252767455,0.04029571252767455,1,2,3478,-0.030290706979508315,0.030290706979508315
C/W WELL LEVEL,0,0,5117,-0.08239785587914868,0.08239785587914868,12,24,5105,0.10051918921415902,0.10051918921415902
CL2,0,0,3409,-0.13579429423495237,0.13579429423495237,1,2,3408,-0.14424448318397523,0.14424448318397523
CLR,0,0,5117,-0.48270276572567977,0.48270276572567977,0,0,5117,-0.11004976464240432,0.11004976464240432
FILT. NTU,0,0,5119,0.6947443493228872,0.6947443493228872,1,2,5118,0.23246862884669361,0.23246862884669361
PH,12,24,3468,0.05001250212330093,0.05001250212330093,12,24,3468,0.17710687722184454,0.17710687722184454
R/W CLR,12,24,5106,0.03660361764337448,0.03660361764337448,0,0,5118,-0.1695496390648705,0.1695496390648705
R/W FLOW,1,2,5109,0.14037789281517632,0.14037789281517632,1,2,5109,0.3784395981113252,0.3784395981113252
R/W NTU,12,24,5106,0.05067009436036431,0.05067009436036431,0,0,5118,-0.1573555317927679,0.1573555317927679
R/W PH,4,8,3476,-0.09154414220203949,0.09154414220203949,12,24,3468,-0.21699337745539887,0.21699337745539887
RIVER LEVEL,12,24,4875,0.11984906040245852,0.11984906040245852,0,0,4884,-0.12869118547353495,0.12869118547353495
T/W FLOW,3,6,5100,0.12183168598862772,0.12183168598862772,1,2,5102,0.35485215506133216,0.35485215506133216
