DATE_ONLY,DATETIME,NTU,NTU_lag1,NTU_lag2,NTU_lag3,NTU_lag6,NTU_lag12
2026-02-01,2026-02-01 01:00:00,0.32,0.34,0.34,0.35,0.34,0.34
2026-02-01,2026-02-01 03:00:00,0.32,0.32,0.34,0.34,0.34,0.34
2026-02-01,2026-02-01 05:00:00,0.32,0.32,0.32,0.34,0.35,0.34
2026-02-01,2026-02-01 07:00:00,,0.32,0.32,0.32,0.35,0.33
2026-02-01,2026-02-01 09:00:00,,,0.32,0.32,0.34,0.35
2026-02-01,2026-02-01 11:00:00,,,,0.32,0.34,0.33
2026-02-01,2026-02-01 13:00:00,,,,,0.32,0.34
2026-02-01,2026-02-01 15:00:00,,,,,0.32,0.34
2026-02-01,2026-02-01 17:00:00,,,,,0.32,0.35
2026-02-01,2026-02-01 19:00:00,,,,,,0.35
2026-02-01,2026-02-01 21:00:00,,,,,,0.34
2026-02-01,2026-02-01 23:00:00,,,,,,0.34
2026-02-10,2026-02-10 01:00:00,,,,,,
2026-02-10,2026-02-10 03:00:00,,,,,,
2026-02-10,2026-02-10 05:00:00,,,,,,
2026-02-10,2026-02-10 07:00:00,,,,,,
2026-02-10,2026-02-10 09:00:00,,,,,,
2026-02-10,2026-02-10 11:00:00,,,,,,
2026-02-10,2026-02-10 13:00:00,,,,,,
2026-02-10,2026-02-10 15:00:00,,,,,,
2026-02-10,2026-02-10 17:00:00,,,,,,
2026-02-10,2026-02-10 19:00:00,,,,,,
2026-02-10,2026-02-10 21:00:00,,,,,,
2026-02-10,2026-02-10 23:00:00,,,,,,
2026-02-20,2026-02-20 01:00:00,,,,,,
2026-02-20,2026-02-20 03:00:00,,,,,,
2026-02-20,2026-02-20 05:00:00,,,,,,
2026-02-20,2026-02-20 07:00:00,,,,,,
2026-02-20,2026-02-20 09:00:00,,,,,,
2026-02-20,2026-02-20 11:00:00,,,,,,
2026-02-20,2026-02-20 13:00:00,,,,,,
2026-02-20,2026-02-20 15:00:00,,,,,,
2026-02-20,2026-02-20 17:00:00,,,,,,
2026-02-20,2026-02-20 19:00:00,,,,,,
2026-02-20,2026-02-20 21:00:00,,,,,,
2026-02-20,2026-02-20 23:00:00,,,,,,
